name,tier,url,image_url,dimensions,handle_drop,ideal_for,colour,made_of,features,design_notes
YSL CLASSIC CASSANDRE ENVELOPE CHAIN WALLET,CLASSIC,https://zerocollective.ca/bag/ysl-classic-cassandre-envelope-chain-wallet-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762965442853x416103245876485500/YSL%20Classic%20Cassandre%20Envelope%20Chain%20Wallet%20BBASL259-835-0%201.jpg","X-SMALL (7.5"" x 5"" x 1.5"")","24""","CARDHOLDER, PHONE AND KEYS",Dusty rose with black hardware,Quilted calfskin leather,"Envelope flap, chevron quilting, tonal black YSL logo, detachable chain strap, snap closure, interior card slots","The dusty rose tone and slim envelope silhouette give this Cassandre Wallet a soft yet confident presence. Quilted calfskin, sharp chevron lines, and the darkened YSL monogram create a refined balance of texture and contrast. The Cassandre logo, designed in 1963 by Adolphe Mouron Cassandre, has become one of Saint Laurent’s most enduring house signatures. This piece is perfect for women who appreciate compact shapes with iconic branding and modern edge. Style it with minimalist tailoring or evening pieces for a sleek, polished finish."
CELINE GRAINED CALFSKIN MINI VICTOIRE TRIOMPHE BAG,CLASSIC,https://zerocollective.ca/bag/celine-grained-calfskin-mini-victoire-triomphe-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1747832855140x963420552437082100/Celine%20Grained%20Calfskin%20Teen%20Victoire%20Bag%20BERCE254-1806-0%20%5B1%5D.jpg","X-SMALL (6.5"" x 5"" x 4"")","19""","CARDHOLDER, PHONE, AND KEYS",White with gold-tone hardware,Grained calfskin leather,"Mini flap bag, Triomphe clasp, chain and leather strap, smooth finish","Clean and modern, the Mini Victoire carries crisp white calfskin with a gleaming Triomphe clasp for polished contrast. Grained leather gives texture and durability, paired with a chain-and-leather strap for flexible styling. The Triomphe emblem takes inspiration from the wrought-iron pattern surrounding the Arc de Triomphe in Paris. A refined choice for women who gravitate toward minimal silhouettes with meaningful details. Wear it day or night with sleek, monochrome outfits."
FENDI VINTAGE WOOL ZUCCA MAMMA BAGUETTE BAG,CLASSIC,https://zerocollective.ca/bag/fendi-vintage-wool-zucca-mamma-baguette-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1758260555727x531027348751217150/Fendi%20Vintage%20Wool%20Zucca%20Mamma%20Baguette%20Bag%20BBAFE258-794-0%201.jpg","MEDIUM (11.5"" x 8"" x 4"")","7""","WALLET, PHONE, SUNGLASSES, AND KEYS",Charcoal grey Zucca wool with black accents,Wool blend and leather,"Flap front closure, single handle, FF logo plaque, roomy interior","The charcoal wool Zucca pattern and structured silhouette lend this Mamma Baguette a cozy yet graphic feel. Wool blend construction, a flap closure, and classic FF hardware ground it in Fendi’s archival codes. The Mamma Baguette, introduced in the late 1990s, expanded the original Baguette into a more spacious, everyday form. A favourite for collectors who appreciate vintage texture and iconic monogram design. Style it with layered winter neutrals or textured knits for a warm, chic mood."
BOTTEGA VENETA INTRECCIATO MEDIUM HOBO,CLASSIC,https://zerocollective.ca/bag/bottega-veneta-intrecciato-medium-hobo-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1760565880056x902930695320397000/Bottega%20Veneta%20Intrecciato%20Medium%20Hobo%20BOTBV259-1954-0%201.jpg","MEDIUM (15"" x 10"" x 2"")","6""","WALLET, PHONE, SUNGLASSES, BOOK, AND KEYS",Chocolate brown,Lambskin leather,"Slouchy hobo shape, single handle, zip top closure","The rich chocolate tone and relaxed slouch of this hobo give it an effortlessly elevated feel. Signature intrecciato weaving, soft lambskin, and a single-handle silhouette showcase Bottega Veneta’s artisan precision. The intrecciato technique was introduced in the 1970s, becoming a defining code of the house’s quiet luxury identity. Perfect for women who appreciate texture-forward craftsmanship and understated richness. Pair it with tonal knits or fluid tailoring for an elegant, organic look."
DIOR LAMBSKIN CANNAGE STUDDED BUTTERFLY SMALL LADY DIOR BAG,DELUXE,https://zerocollective.ca/bag/dior-lambskin-cannage-studded-butterfly-small-lady-dior-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1756942111796x320692376878417560/Dior%20Lambskin%20Cannage%20Studded%20Butterfly%20Small%20Lady%20Dior%20Bag%20BSBDI257-3060-0%201.jpg","SMALL (8"" x 7"" x 3"")","21.5""","CARDHOLDER, PHONE, AND KEYS",White with butterfly motif and gold-tone hardware,Lambskin leather,"Structured top handle, detachable shoulder strap, butterfly-adorned cannage quilting, ""D.I.O.R."" and butterfly charms","Light and enchanting, the Studded Butterfly Lady Dior brings delicate artistry to Dior’s most iconic structure. Embroidered butterflies interact with the cannage quilting, creating depth and movement, while the charm set includes a sculptural butterfly among the letters. The Lady Dior—introduced in 1995 and made legendary by Princess Diana—continues to inspire seasonal interpretations steeped in craftsmanship. A beautiful pick for collectors who appreciate feminine storytelling through detail. Pair it with soft palettes and flowing silhouettes for a dreamlike finish."
CHANEL CALFSKIN QUILTED PARIS-ROME DRAWSTRING BAG,DELUXE,https://zerocollective.ca/bag/chanel-calfskin-quilted-paris-rome-drawstring-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1758339780215x528516126940415940/Chanel%20Calfskin%20Quilted%20Paris-Rome%20Drawstring%20Bag%20BBACH258-2533-0%201.jpg","MEDIUM (12"" x 9.5"" x 5"")","6"" - 18.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with gold-tone hardware,Quilted calfskin,Drawstring bucket with grommeted top and CC medallion; single top handle; leather-and-chain accent; roomy interior with secure cinch closure,"Rome bag a chic, softly structured mood. Quilted calfskin, grommeted details, and a single handle create a balance of texture and movement. Inspired by Chanel’s Métiers d’Art Paris–Rome 2015/16 collection, it reflects the house’s cinematic fusion of Parisian polish and Italian craft. Perfect for women who enjoy modern classics grounded in rich house storytelling. Pair it with elegant outerwear or all-black looks for sleek, effortless style."
DIOR LADY D-JOY MEDIUM BUTTERFLY PRINTED BAG,DELUXE,https://zerocollective.ca/bag/dior-lady-d-joy-medium-butterfly-printed-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608469153x198957364151594940/Dior%20Lady%20D-Joy%20Medium%20Butterfly%20Printed%20Bag%20BSBDI258-3016-0%201.jpg","MEDIUM (10.5"" x 5.5"" x 2"")","2.5"" - 22.5""","CARDHOLDER, PHONE, AND KEYS",White with red butterfly/flower print and gold-tone hardware,Printed lambskin leather,"Wide east-west silhouette, structured top handles, detachable/adjustable chain strap, butterfly print, “D.I.O.R.”/butterfly charms","Lively and bright, the Butterfly-Printed Lady D-Joy delivers a garden-inspired take on the elongated Lady Dior silhouette. Printed butterflies dance across the bag, complemented by structured handles and gold-tone detailing. The Lady Dior’s heritage dates to 1995, when it became closely associated with Princess Diana, making it one of the most recognizable icons of the house. A perfect choice for collectors who appreciate whimsy woven into classic design. Pair it with soft whites or floral tones for joyful elegance."
CHANEL CAVIAR QUILTED SMALL FILIGREE VANITY CASE,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-small-filigree-vanity-case-2,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1763761934119x457012207628015900/Chanel%20Caviar%20Quilted%20Small%20Filigree%20Vanity%20Case%20BOKLO259-2576-0%201.jpg","SMALL (6.5"" x 5"" x 2"")","21""","CARDHOLDER, PHONE AND KEYS",,,,
FENDI VINTAGE ZUCCA MAMMA BAGUETTE BAG,CLASSIC,https://zerocollective.ca/bag/fendi-vintage-zucca-mamma-baguette-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1758260365587x365481784400046400/Fendi%20Vintage%20Zucca%20Mamma%20Baguette%20Bag%20BSBFE258-739-0%201%20%282%29.jpg","MEDIUM (11.5"" x 8"" x 4"")","7""","WALLET, PHONE, SUNGLASSES, AND KEYS","Brown Zucca canvas with leather trim, silver-tone hardware",Coated canvas and leather,"Mamma Baguette hobo, signature Fendi Zucca print, flap closure, roomy hobo silhouette",
DIOR CANNAGE MY DIOR MINI BAG,CLASSIC,https://zerocollective.ca/bag/dior-cannage-my-dior-mini-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608656142x442225888740159800/Dior%20Cannage%20My%20Dior%20Mini%20Bag%20BSBDI258-1813-0%201.jpg","X-SMALL (8.5"" x 4.5"" x 2"")","20""","CARDHOLDER, PHONE, AND KEYS",Light blue with silver-tone hardware,Quilted leather,"Rectangular silhouette, flap closure, cannage quilting, top handle and detachable chain strap, ""D.I.O.R."" charm","Light blue leather and refined lines give the My Dior Mini a soft, delicate presence. Cannage quilting and silver-tone hardware highlight the house’s precision stitching, while the top handle and detachable chain add versatile structure. The cannage motif traces back to the Napoleon III chairs used in Dior’s original atelier, a signature carried through decades of design. This piece appeals to women who love compact shapes with meaningful heritage woven into the details. Pair it with soft neutrals or gentle pastels for an elegant, feminine mood."
GUCCI CALFSKIN GG MARMONT SMALL TOP HANDLE BAG,CLASSIC,https://zerocollective.ca/bag/gucci-calfskin-gg-marmont-small-top-handle-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608254022x768962108411567900/Gucci%20GG%20Marmont%20Mini%20Two-Way%20Bag%20BSBGU257-681-0%201.jpg","SMALL (8"" x 6"" x 3"")","2.5"" - 21""","CARDHOLDER, PHONE, AND KEYS","Bold and plush, the crimson Small Top Handle Marmont showcases chevron matelassé leather with radiant antique-gold GG hardware. The soft structure and versatile combination of top handle and chain strap make it adaptable for both day and night. Inspired by 1970s archival designs, the Marmont line channels Gucci’s rich heritage with a modern, expressive twist. A confident choice for women who enjoy colour-forward luxury and iconic signatures. Style it with black, cream, or metallics for striking contrast.",Calfskin leather,"Small structured top handle bag, chevron matelassé quilting, GG logo, chain and leather strap",
CHANEL STITCHED DEERSKIN CC SHOPPING TOTE,DELUXE,https://zerocollective.ca/bag/chanel-stitched-deerskin-cc-shopping-tote,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1760566090221x796901183760473900/Chanel%20Black%20Caviar%20Tote%20BERCH259-1677-0%201.jpg","LARGE (12.5"" x 9.5"" x 5.5"")","5"" - 13""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",Black with gunmetal hardware,Stitched deerskin leather,"Roomy open-top tote, stitched CC logo, dual top handles and chain straps, interior zipper pocket",
CHANEL QUILTED CALFSKIN COCO SUPPLE HOBO BAG,DELUXE,https://zerocollective.ca/bag/chanel-quilted-calfskin-coco-supple-hobo-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755552092895x936031425253755800/chanel-brown-front%20%281%29.jpg","MEDIUM (13.5"" x 8.5"" x 5"")","14""","WALLET, PHONE, SUNGLASSES, BOOK, AND KEYS",Brown with silver hardware,Quilted calfskin leather,"Slouchy hobo shape, braided chain handle, CC logo clasp, soft quilted body","Soft and relaxed, the Coco Supple Hobo brings effortless glamour with its fluid brown calfskin and slouchy silhouette. Quilted leather and a crinkle effect create dimensional texture, complemented by a braided chain handle and oversized CC clasp. Chanel’s hobo designs nod to the maison’s evolution toward more casual luxury while keeping iconic hardware at the forefront. A beautiful choice for women who appreciate laid-back refinement with signature detailing. Style it with tailored neutrals or relaxed knitwear for elevated ease."
YSL QUILTED LAMBSKIN ICARE MAXI TOTE BAG,DELUXE,https://zerocollective.ca/bag/ysl-quilted-lambskin-icare-maxi-tote-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757808875169x854062870472348500/YSL%20Quilted%20Lambskin%20Icare%20Maxi%20Tote%20Bag%20BSBSL258-3361-0%201.jpg","LARGE (16"" x 14.5"" x 3"")","9""","LAPTOP, POUCH, PHONE, WALLET, AND KEYS",Black with gold-tone hardware,Lambskin leather,"Oversized tote, puffy quilting, open top, supple handles, extra-large YSL logo","The oversized silhouette and plush quilting create a dramatic, fashion-forward mood in the Icare Maxi Tote. Supple lambskin, exaggerated padding, and the bold YSL logo bring softness and statement together. The Icare quickly became a cultural icon after its debut, embraced widely for its oversized proportions. It’s well-suited for women who appreciate modern luxury with impactful scale. Carry it with sleek layers or pared-back outfits to let the volume shine."
DIOR PATENT CANNAGE MY DIOR MINI BAG,CLASSIC,https://zerocollective.ca/bag/dior-patent-cannage-my-dior-mini-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1759847746993x635844671287762600/Dior%20Patent%20Cannage%20My%20Dior%20Mini%20Bag%20BBADI258-1397-0%201.jpg","X-SMALL (8.5"" x 4.5"" x 2"")","20""","CARDHOLDER, PHONE, AND KEYS",Black patent with gold-tone hardware,Patent leather,"Rectangular silhouette, flap closure, adjustable shoulder strap, cannage quilting, ""D.I.O.R."" charm","The glossy black patent and compact silhouette give the My Dior Mini Bag a polished, graphic presence. Patent cannage quilting, structured lines, and the signature D.I.O.R. charms showcase Dior’s precision craftsmanship. The cannage pattern traces back to Napoleon III chairs used in Dior’s atelier and has anchored the house’s identity since 1947. A refined choice for collectors or women drawn to iconic details with modern edge. Pair it with tailored evening pieces or minimalist ensembles for chic contrast."
CHANEL TWEED CLASSIC DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-tweed-classic-double-flap-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755551831767x840092877282030200/Chanel%20Tweed%20Classic%20Double%20Flap%20Bag%20BSBCH257-3157-0%201.jpg","MEDIUM (10"" x 6.5"" x 2.5"")","9"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",Purple/black tweed with silver-tone hardware,Tweed and leather,"Double-flap construction, leather-woven chain strap, back slip pocket, CC turn-lock, two interior compartments","Rich and tactile, this tweed Double Flap blends vibrant purple and black tones for a dimensional, couture-inspired look. The dual-flap construction, silver hardware, and woven chain strap retain the Classic Flap’s beloved structure. Chanel's tweed lineage runs deep—introduced in the 1950s and continually reimagined through handcrafted, one-of-a-kind weaves. A refined option for collectors who cherish texture, artistry, and house heritage. Wear it with tailored black or cream palettes to let the tweed shine."
YSL CASSANDRA MINI TOP HANDLE BAG,CLASSIC,https://zerocollective.ca/bag/ysl-cassandra-mini-top-handle-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757809050698x545291020136753360/YSL%20Cassandra%20Two-Way%20Mini%20Bag%20BSBSL258-1495-0%201.jpg","SMALL (8"" x 6.5"" x 3"")","3"" - 20.5""","WALLET, PHONE, AND KEYS",White with gold-tone hardware,Box calfskin leather,"Small satchel style, front flap, top handle, optional shoulder strap, rotating YSL clasp","Clean white leather and a sculpted top-handle silhouette give the Cassandra Mini a crisp, elegant presence. Box calfskin, gold hardware, and the rotating YSL clasp highlight both structure and thoughtful engineering. Named after the historic Cassandre logo, this line reflects Saint Laurent’s blend of mid-century design heritage and modern refinement. It’s suited for women who appreciate compact shapes with a polished, architectural feel. Wear it with tailored monochrome looks for fresh, sophisticated contrast."
CHANEL LAMBSKIN QUILTED MEDIUM 19 FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-medium-19-flap-bag-3,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755551719730x857834732587999000/Chanel%20Lambskin%20Quilted%20Medium%2019%20Flap%20Bag%20BSBCH257-2865-0%201.jpg","MEDIUM (10"" x 6.5"" x 3.5"")","20""","WALLET, PHONE, SUNGLASSES, AND KEYS",White with mixed-metal hardware,Lambskin leather,Magnetic flap with oversized CC; chunky mixed-metal chain top handle; leather-woven crossbody chain; oversized quilting; back slip pocket; interior zip pocket,
LOEWE CANVAS SMALL FONT TOTE,CLASSIC,https://zerocollective.ca/bag/loewe-canvas-small-font-tote,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1756132676123x585410099920411500/Loewe%20Canvas%20Small%20Font%20Tote%20BOTLO255-840-0%20%5B1%5D.jpg","SMALL (9.5"" x 7.5"" x 4"")","6"" - 22.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",Sage green with ivory logo,Canvas and leather,"Square tote, bold LOEWE logo, flat handles, unlined open interior","Minimal and contemporary, the Small Font Tote pairs sage-green canvas with a bold ivory LOEWE graphic for a clean, modern mood. Structured handles and unlined construction give it a lightweight feel with architectural clarity. The Font series reflects Loewe’s exploration of bold typography and modern identity within classic forms. A refined choice for someone who appreciates graphic simplicity with everyday practicality. Pair it with fresh neutrals or soft tailoring for a balanced, effortless look."
PRADA CROCHET TOTE BAG,CLASSIC,https://zerocollective.ca/bag/prada-crochet-tote-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1753127154325x770824305536826500/Prada%20Raffia%20Grass%20Tote%20BERPR256-1089-0%201.jpg","LARGE (16.5"" x 16"" x 2"")","9.5""","PHONE, WALLET, BOOK, POUCH, AND KEYS",Black with white logo,Raffia grass fiber,"Open mesh tote, hand-crocheted construction, double handles, “PRADA MILANO” text","Airy and modern, the Black Crochet Tote delivers open-mesh texture with bold contrast logo detailing. Hand-crocheted raffia fibres give it relaxed flexibility and artisanal charm. Prada’s raffia designs draw on seasonal craftsmanship and carefree Mediterranean aesthetics. Perfect for someone who values lightweight ease for travel, beach days, or city errands. Pair it with breezy neutrals for effortless summer styling."
